search URL:,https://patents.google.com/?q=testosterone,,,,,,,
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US5622944A,Testosterone prodrugs for improved drug delivery ,"Affymax Technologies N.V., Alza Corporation","Ron L. Hale, Amy T. Lu, Dennis W. Solas, Michel J. N. Cormier",12/06/92,4/05/95,22/04/97,22/04/97,https://patents.google.com/patent/US5622944A/en
US5152997A,Method and device for transdermally administering testosterone across nonscrotal skin at therapeutically effective levels ,"Theratech, Inc.","Charles D. Ebert, Dinesh Patel, Werner Heiber",11/12/90,7/02/91,6/10/92,6/10/92,https://patents.google.com/patent/US5152997A/en
US5460820A,Methods for providing testosterone and optionally estrogen replacement therapy to women ,"Theratech, Inc.","Charles D. Ebert, Dinesh C. Patel, Norman A. Mazer, Srinivasan Venkateshwaran",3/08/93,3/08/93,24/10/95,24/10/95,https://patents.google.com/patent/US5460820A/en
US6743448B2,Topical testosterone formulations and associated methods ,Abraham H. Kryger,Abraham H. Kryger,11/12/00,11/12/01,1/06/04,1/06/04,https://patents.google.com/patent/US6743448B2/en
US6977143B1,Determination of testosterone by mass spectrometry ,Quest Diagnostics Investments Incorporated,"Michael P. Caulfield, Darren A. Carns, Richard E. Reitz",8/09/03,2/12/03,20/12/05,20/12/05,https://patents.google.com/patent/US6977143B1/en
US6132760A,Transdermal device for the delivery of testosterone ,3M Innovative Properties Company,"John C. Hedenstrom, Michael L. Husberg, Shari L. Wilking, Matthew T. Scholz",28/02/97,27/02/98,17/10/00,17/10/00,https://patents.google.com/patent/US6132760A/en
US6726673B1,Methods and apparatus for improved administration of testosterone pharmaceuticals ,"Zars, Inc.","Jie Zhang, Hao Zhang, Wade A. Hull, Larry Rigby",24/05/99,24/05/99,27/04/04,27/04/04,https://patents.google.com/patent/US6726673B1/en
US20030022877A1,Method of increasing testosterone and related steroid concentrations in women ,Dudley Robert E.,Robert Dudley,30/08/00,21/05/02,30/01/03,,https://patents.google.com/patent/US20030022877A1/en
US20070154533A1,Method of increasing testosterone and related steriod concentrations in women ,Dudley Robert E,Robert Dudley,13/04/05,11/04/06,5/07/07,,https://patents.google.com/patent/US20070154533A1/en
US4197286A,Testosterone derivatives and assay method ,Southwest Research Institute,Pemmaraju N. Rao,27/09/77,27/09/77,8/04/80,8/04/80,https://patents.google.com/patent/US4197286A/en
US5880117A,Use of 4-androstenediol to increase testosterone levels in humans ,Arnold; Patrick,Patrick Arnold,13/07/98,13/07/98,9/03/99,9/03/99,https://patents.google.com/patent/US5880117A/en
US20050180923A1,"Buccal, polar and non-polar spray containing testosterone ","Dugger Harry A.Iii, Mohammed Abd El-Shafy","Harry Dugger, Mohammed Abd El-Shafy",1/10/97,29/09/03,18/08/05,,https://patents.google.com/patent/US20050180923A1/en
US6172088B1,Testosterone compounds and use for the protection of neurons ,"University Of Florida Research Foundation, Inc., Apollo Biopharmaceutics, Inc.","James W. Simpkins, Katherine D. Gordon, Robert Leonard",24/11/97,24/11/98,9/01/01,9/01/01,https://patents.google.com/patent/US6172088B1/en
US5530019A,Indole derivatives useful as testosterone 5α-reductase inhibitors ,"Fujisawa Pharmaceutical Co., Ltd.","Satoshi Okada, Kozo Sawada, Akio Kuroda, Shinya Watanabe, Hirokazu Tanaka",5/04/93,14/03/94,25/06/96,25/06/96,https://patents.google.com/patent/US5530019A/en
US20050176692A1,Oral androgen therapy using modulators of testosterone bioavailability ,University Of Washington,"John Amory, William Bremner",9/02/04,15/11/04,11/08/05,,https://patents.google.com/patent/US20050176692A1/en
US20060094660A1,Inhibitor of the shh signalling patway and a testosterone supressing agent for the treatment of cancer ,Thomson Axel A,Axel Thomson,17/09/02,17/09/03,4/05/06,,https://patents.google.com/patent/US20060094660A1/en
US20070078091A1,Pharmaceutical combinations for compensating for a testosterone deficiency in men while simultaneously protecting the prostate ,"Doris Hubler, Michael Oettel, Lothar Sobek, Walter Elger, Abdul-Abbas Al-Mudhaffar","Doris Hubler, Michael Oettel, Lothar Sobek, Walter Elger, Abdul-Abbas Al-Mudhaffar",9/06/98,8/09/06,5/04/07,,https://patents.google.com/patent/US20070078091A1/en
US5035891A,Controlled release subcutaneous implant ,Syntex (U.S.A.) Inc.,"Richard A. Runkel, Jung-Chung Lee",5/10/87,24/08/89,30/07/91,30/07/91,https://patents.google.com/patent/US5035891A/en
US6139873A,Combined pharmaceutical estrogen-androgen-progestin ,"Cedars-Sinai Medical Center, Wake Forest University","Claude L. Hughes, Jr., Manuel J. Jayo",10/07/96,23/10/98,31/10/00,31/10/00,https://patents.google.com/patent/US6139873A/en
US4147783A,Oral pharmaceutical preparation ,Akzona Incorporated,Johannes van der Vies,28/02/74,10/11/77,3/04/79,3/04/79,https://patents.google.com/patent/US4147783A/en
US20030175329A1,Semisolid topical hormonal compositions and methods for treatment ,"Cellegy Pharmaceuticals, Inc.","Daniel Azarnoff, Vivien Mak",4/10/01,4/10/02,18/09/03,,https://patents.google.com/patent/US20030175329A1/en
US6319913B1,Penetration enhancing and irritation reducing systems ,"Cellegy Pharmaceuticals, Inc.","Vivien H. W. Mak, Stephen Grayson",10/11/97,9/11/98,20/11/01,20/11/01,https://patents.google.com/patent/US6319913B1/en
US6576660B1,Methods and compositions for regulation of 5-α-reductase activity ,Arch Development Corporation,"Shutsung Liao, Richard A. Hiipakka",31/10/97,30/10/98,10/06/03,10/06/03,https://patents.google.com/patent/US6576660B1/en
US5855920A,Total hormone replacement therapy ,Chein; Edmund Y. M.,Edmund Y. M. Chein,13/12/96,13/12/96,5/01/99,5/01/99,https://patents.google.com/patent/US5855920A/en
US5605929A,Methods and compositions for inhibiting 5α-reductase activity ,Arch Development Corp.,"Shutsung Liao, Tehming Liang",27/05/92,16/05/95,25/02/97,25/02/97,https://patents.google.com/patent/US5605929A/en
US5958946A,Modulation of hair growth ,"Styczynski; Peter, Ahluwalia; Gurpreet S.","Peter Styczynski, Gurpreet S. Ahluwalia",20/01/98,20/01/98,28/09/99,28/09/99,https://patents.google.com/patent/US5958946A/en
US6696484B2,Method and compositions for regulation of 5-alpha reductase activity ,University Of Chicago Office Of Technology And Intellectual Property,"Shutsung Liao, Richard Hiipakka",31/10/97,24/04/02,24/02/04,24/02/04,https://patents.google.com/patent/US6696484B2/en
US5422371A,Methods and compositions for inhibiting 5α-reductase activity ,Arch Development Corp.,"Shutsung Liao, Tehming Liang",27/05/92,1/07/92,6/06/95,6/06/95,https://patents.google.com/patent/US5422371A/en
US20050020552A1,Pharmaceutical composition and method for transdermal drug delivery ,"Chaim Aschkenasy, Oren Chen, Rami Boochnik, Eilon Asculai, Chalil Abu-Gnim, Amira Zeevi","Chaim Aschkenasy, Oren Chen, Rami Boochnik, Eilon Asculai, Chalil Abu-Gnim, Amira Zeevi",16/07/03,15/07/04,27/01/05,,https://patents.google.com/patent/US20050020552A1/en
US20040127476A1,Oral testosterone delivery system with improved sustained release ,"Alvin Kershman, Shear Jeff L.","Alvin Kershman, Jeff Shear",14/11/02,12/11/03,1/07/04,,https://patents.google.com/patent/US20040127476A1/en
US20050025833A1,Pharmaceutical composition and method for transdermal drug delivery ,"Chaim Aschkenasy, Oren Chen, Rami Boochnik, Eilon Asculai, Chalil Abu-Gnim, Amira Zeevi","Chaim Aschkenasy, Oren Chen, Rami Boochnik, Eilon Asculai, Chalil Abu-Gnim, Amira Zeevi",16/07/03,15/07/04,3/02/05,,https://patents.google.com/patent/US20050025833A1/en
US20080206161A1,"Quiescent foamable compositions, steroids, kits and uses thereof ","Dov Tamarkin, Meir Eini, Doron Friedman, David Schuz, Tal Berman","Dov Tamarkin, Meir Eini, Doron Friedman, David Schuz, Tal Berman",25/10/02,25/01/08,28/08/08,,https://patents.google.com/patent/US20080206161A1/en
US20050042268A1,Pharmaceutical composition and method for transdermal drug delivery ,"Chaim Aschkenasy, Oren Chen, Rami Boochnik, Eilon Asculai, Chalil Abu-Gnim, Amira Zeevi","Chaim Aschkenasy, Oren Chen, Rami Boochnik, Eilon Asculai, Chalil Abu-Gnim, Amira Zeevi",16/07/03,15/07/04,24/02/05,,https://patents.google.com/patent/US20050042268A1/en
US5770226A,Combined pharmaceutical estrogen-androgen-progestin oral contraceptive ,Wake Forest University,"Claude L. Hughes, Jr., Manuel J. Jayo",10/07/96,10/07/96,23/06/98,23/06/98,https://patents.google.com/patent/US5770226A/en
US20060018937A1,Steroid kit and foamable composition and uses thereof ,Foamix Ltd.,"Doron Friedman, Alex Besonov, Dov Tamarkin, Meir Eini",25/10/02,26/04/05,26/01/06,,https://patents.google.com/patent/US20060018937A1/en
US3056727A,Cyclohexylcarbonates of steroids ,Roussel Uclaf,"Allais Andre, Meier Jean",27/10/60,17/10/61,2/10/62,2/10/62,https://patents.google.com/patent/US3056727A/en
